總筆數 35334 筆
錯誤代碼        出現次數        機率
1000            7               0.02%
1004            39              0.11%
1005            7               0.02%
1008            196             0.55%
1011            111             0.31%
1021            2               0.01%
1022            1057            2.99%
1023            66              0.19%
1024            229             0.65%
1025            85              0.24%
1027            19              0.05%
1030            1316            3.72%
1031            6342            17.95%
1035            32              0.09%
1039            1               0.00%
1041            94              0.27%
1073            32              0.09%
1074            1               0.00%
1111            13877           39.27%
1112            5316            15.04%
1113            578             1.64%
1114            642             1.82%
1115            116             0.33%
1141            30              0.08%
1235            3258            9.22%
2010            51              0.14%
2013            13              0.04%
2014            431             1.22%
2018            1               0.00%
2019            100             0.28%
3001            180             0.51%
3003            45              0.13%
3004            46              0.13%
3005            1               0.00%
3007            598             1.69%
3008            201             0.57%
3009            160             0.45%
3010            43              0.12%
3011            1               0.00%
3105            5               0.01%
9999            5               0.01%
